Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,MFR,MPN,DPN,,,
R2,1,10k,,,,Stackpole Electronics Inc,RMCF0603JT10K0,RMCF0603JT10K0CT-ND,,,
R2,1,10k,,,,Stackpole Electronics Inc,RMCF0603JT10K0,RMCF0603JT10K0CT-ND,,,2
,,,,,,,,,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,5
,,,,,,,,,,,
,,,,,,,,,,,
"Q1,Q2",2,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,
Q2,1,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,
"Q1,Q2",2,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,
"Q1,Q3",2,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,
"Q1,Q3",2,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,9
,,,,,,,,,,,
U1,1,LDO40LPU33RY,,,,,,,,,
U1,1,LDO40LPU33RY,,,,,,,,,
A2,1,RaspberryPi_Pico,,,,,,,,,
A1,1,RaspberryPi_Pico,,,,,,,,,
A1,1,RaspberryPi_Pico,,,,,,,,,
A1,1,RaspberryPi_Pico,,,,,,,,,
A2,1,RaspberryPi_Pico,,,,,,,,,
,,,,,,,,,,,
J1,1,FH34SRJ-24S-0.5SH_99_,,,,,,,,,
J3,1,FH34SRJ-24S-0.5SH_99_,,,,,,,,,
J1,1,FH34SRJ-24S-0.5SH_99_,,,,,,,,,
J1,1,FH34SRJ-24S-0.5SH_99_,,,,,,,,,
J1,1,FH34SRJ-24S-0.5SH_99_,,,,,FH34SRJ-24S-0.5SH(99),H124725CT-ND,,,1
